126,-11.47,75.23,1,154.87,110.62

127,-53.74,55.88,1,153.34,109.53

128,-43.55,40.97,1,151.42,108.16

129,-59.54,25.89,1,149.11,106.51

130,-46.26,15.07,1,146.55,104.68

131,-22.07,9.50,1,143.89,102.78

132,-4.79,7.35,1,141.22,100.87

133,39.82,12.22,1,138.73,99.10

134,15.10,12.66,1,136.31,97.37

135,-20.62,7.66,1,133.80,95.57

136,-24.67,2.81,1,131.21,93.72

137,-55.44,-5.92,1,128.42,91.73

138,-70.06,-15.54,1,125.41,89.58

139,-46.23,-20.15,1,122.34,87.39

140,-78.09,-28.84,1,119.08,85.06

141,-48.35,-31.77,1,115.81,82.72

142,-51.07,-34.66,1,112.53,80.38

143,-23.83,-33.04,1,109.35,78.11

144,53.84,-20.01,1,106.60,76.15

145,127.12,2.06,1,104.53,74.66

146,227.48,35.88,1,103.44,73.89

147,296.06,74.90,1,103.47,73.91

148,366.83,118.69,1,104.73,74.80

149,404.44,161.55,1,107.16,76.54

150,418.97,200.17,2,110.62,79.01

158,1098.56,334.92,2,117.78,84.13

159,1071.78,445.45,2,127.90,91.36

160,706.56,484.62,2,138.91,99.22

161,-105.17,396.15,2,147.22,105.16

162,1271.86,527.51,2,159.05,113.61

163,1339.22,649.26,2,174.05,124.32

164,1278.19,743.60,2,191.39,136.71

165,1130.74,801.67,2,210.01,150.01

166,1171.44,857.14,2,229.81,164.15

167,759.96,842.56,2,248.80,177.72

168,328.02,765.38,2,265.26,189.47

169,101.04,665.73,2,278.59,198.99

170,-58.65,557.07,2,288.62,206.16

171,-158.97,449.67,2,295.44,211.03

172,-155.17,358.94,2,299.58,213.98

173,-106.87,289.07,2,301.68,215.49

174,-70.47,235.14,2,302.23,215.88

175,-41.36,193.66,2,301.61,215.44

176,-83.86,152.04,2,299.83,214.17

177,-61.94,119.94,2,297.20,212.28

178,-26.92,97.91,2,293.99,210.00

179,-1.52,83.00,2,290.44,207.46

180,43.63,77.09,2,286.79,204.85

181,56.32,73.98,2,283.12,202.23

182,99.64,77.83,2,279.64,199.74

183,162.26,90.49,2,276.58,197.56

184,101.56,92.15,2,273.63,195.45

185,91.60,92.07,2,270.73,193.38

186,82.34,90.61,2,267.86,191.33

187,131.95,96.81,2,265.21,189.44

188,132.89,102.22,2,262.77,187.69

189,81.21,99.07,2,260.29,185.92

190,64.64,93.91,2,257.71,184.08

191,18.64,82.62,2,254.87,182.05

192,-12.28,68.38,2,251.69,179.78

193,-10.08,56.61,2,248.24,177.31

194,15.42,50.43,2,244.69,174.78

195,-20.00,39.87,2,240.91,172.08

196,-45.12,27.12,2,236.85,169.18

197,-67.12,12.98,2,232.48,166.05

198,-45.69,4.18,2,227.94,162.82

199,-29.27,-0.83,2,223.36,159.54

200,-34.22,-5.84,2,218.73,156.24

208,1.11,-4.80,2,214.22,153.02

209,-1.26,-4.27,2,209.82,149.87

210,-15.18,-5.91,2,205.46,146.75

211,-1.85,-5.30,2,201.20,143.71

212,0.89,-4.37,2,197.05,140.75

213,-47.28,-10.81,2,192.81,137.72

214,-77.88,-20.87,2,188.37,134.55

215,-17.23,-20.32,2,184.03,131.45

216,35.82,-11.90,2,180.02,128.58

217,65.85,-0.24,2,176.41,126.01

218,56.59,8.29,2,173.11,123.65

219,121.84,25.32,2,170.36,121.69

220,148.76,43.84,2,168.18,120.13

221,147.50,59.38,2,166.48,118.91

222,152.29,73.32,2,165.20,118.00

223,169.76,87.79,2,164.36,117.40

